"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/taxa/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/taxa/list.csv?datainfo&rowcount&base_name=Mammalia&show=full&order=hierarchy"
"Access Time","Fri 2026-08-28 21:59:00 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","show","full"
"","order","hierarchy"
"Elapsed Time","0.945"
"Records Found","34129"
"Records Returned","34129"
"Records:"
"orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","taxon_attr","common_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","parent_name","ref_author","ref_pubyr","reference_no","is_extant","n_occs","firstapp_max_ma","firstapp_min_ma","lastapp_max_ma","lastapp_min_ma","early_interval","late_interval","taxon_size","extant_size","phylum","class","order","family","genus","type_taxon","taxon_environment","environment_basis","motility","motility_basis","life_habit","life_habit_basis","vision","diet","diet_basis","reproduction","reproduction_basis","ontogeny","ontogeny_basis","ecospace_comments","composition","architecture","thickness","reinforcement","taphonomy_basis"
"241963","241963","txn","","","Peramuroides tenuiscus","Davis 2012","","","241963","species","Peramuroides tenuiscus","241962","Peramuroides","Davis","2012","42299","extinct","1","141","139.1","141","139.1","Berriasian","","1","0","Chordata","Mammalia","Peramura","Peramuridae","Peramuroides","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"39884","39884","txn","","","Peramus","Owen 1871","","","39884","genus","Peramus","39881","Peramuridae","Owen","1871","29873","extinct","6","145.06","141","141","137.05","Tithonian","Berriasian","4","0","Chordata","Mammalia","Peramura","Peramuridae","Peramus","Peramus tenuirostris","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"206735","206735","txn","","","Peramus tenuirostris","Owen 1871","","","206735","species","Peramus tenuirostris","39884","Peramus","Owen","1871","29873","extinct","1","141","139.1","141","139.1","Berriasian","","1","0","Chordata","Mammalia","Peramura","Peramuridae","Peramus","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"207614","241959","txn","","","Peramus dubius","(Owen 1871)","","","207614","species","Peramus dubius","39884","Peramus","Owen","1871","29873","extinct","1","141","139.1","141","139.1","Berriasian","","1","0","Chordata","Mammalia","Peramura","Peramuridae","Peramus","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"207615","207615","txn","","","Peramus minor","Owen 1871","","","207615","species","Peramus minor","39884","Peramus","Owen","1871","29873","extinct","1","141","139.1","141","139.1","Berriasian","","1","0","Chordata","Mammalia","Peramura","Peramuridae","Peramus","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"241960","241960","txn","","","Kouriogenys","Davis 2012","","","241960","genus","Kouriogenys","39881","Peramuridae","Davis","2012","42299","extinct","1","141","139.1","141","139.1","Berriasian","","2","0","Chordata","Mammalia","Peramura","Peramuridae","Kouriogenys","Kouriogenys minor","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"207505","241961","txn","","","Kouriogenys minor","(Owen 1871)","","","207505","species","Kouriogenys minor","241960","Kouriogenys","Owen","1871","29873","extinct","1","141","139.1","141","139.1","Berriasian","","1","0","Chordata","Mammalia","Peramura","Peramuridae","Kouriogenys","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"213205","213205","txn","","","Tendagurutherium","Heinrich 1998","","","213205","genus","Tendagurutherium","39881","Peramuridae","Heinrich","1998","41626","extinct","1","152.21","149.2","152.21","149.2","Kimmeridgian","","2","0","Chordata","Mammalia","Peramura","Peramuridae","Tendagurutherium","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"213206","213206","txn","","","Tendagurutherium dietrichi","Heinrich 1998","","","213206","species","Tendagurutherium dietrichi","213205","Tendagurutherium","Heinrich","1998","41626","extinct","1","152.21","149.2","152.21","149.2","Kimmeridgian","","1","0","Chordata","Mammalia","Peramura","Peramuridae","Tendagurutherium","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"213200","213200","txn","","","Afriquiamus","Sigogneau-Russell 1999","","","213200","genus","Afriquiamus","39881","Peramuridae","Sigogneau-Russell","1999","39266","extinct","1","145.06","141","145.06","141","Tithonian","Berriasian","2","0","Chordata","Mammalia","Peramura","Peramuridae","Afriquiamus","Afriquiamus nessovi","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
